1007,1024,1029,1052,1077,1093,1111,1118,1119,1158,1188,1215,1247,1255,1257,1308,1331,1395,1407,1425,1453,1464,1511,1603,1624,1635,1637,1638,1662,1664,1702,1716,1737,1830,1832,1864,1898,1923,1950,1951,2023,2065,2132,2147,2168,2260,2282,2337,2369,2381,2406,2413,2449,2465,2470,2479,2567,2613,2618,2619,2663,2738,2748,2757,2801,2839,2937,2958,3030,3060,3129,3134,3141,3180,3229,3272,3294,3347,3360,3364,3366,3371,3555,3562,3584,3612,3636,3639,3644,3678,3687,3688,3714,3728,3733,3812,3824,3836,3838,3849,3868,3878,3905,3931,3974,3994,4020,4113,4146,4158,4194,4199,4208,4223,4238,4289,4292,4296,4318,4360,4385,4390,4457,4458,4486,4656,4690,4711,4717,4774,4785,4797,4861,4920,4922,4949,4971,5064,5157,5191,5230,5247,5358,5359,5360,5395,5465,5502,5514,5519,5552,5588,5644,5645,5648,5654,5680,5698,5734,5813,5819,5828,5845,5871,5873,5928,5939,5952,5995,6012,6047,6054,6057,6079,6120,6128,6163,6177,6203,6206,6268,6325,6352,6379,6396,6426,6462,6486,6495,6539,6580,6582,6644,6655,6704,6723,6741,6882,6890,6924,6925,6947,7007,7025,7035,7110,7125,7201,7278,7285,7323,7345,7379,7384,7413,7427,7451,7470,7498,7599,7605,7610,7616,7638,7644,7653,7694,7725,7756,7766,7805,7818,7854,7878,7886,7925,8011,8026,8043,8064,8065,8104,8117,8123,8179,8205,8238,8374,8407,8443,8517,8522,8539,8548,8593,8679,8714,8725,8760,8787,8790,8792,8805,8845,8852,8889,8908,8932,9015,9016,9019,9033,9059,9128,9134,9206,9237,9254,9274,9304,9366,9376,9397,9441,9469,9473,9491,9549,9552,9575,9644,9694,9703,9766,9769,9771,9820,9821,9881,9923,9951
66922,48441,78911,74552,98565,14341,22504,98019,45745,27381,87207,48441,22501,48441,22774,74552,48441,73468,48441,98565,97796,92395,93954,89833,65158,45741,48441,14341,98565,78624,31576,45741,22501,93954,93954,98565,98565,95877,31462,31119,95877,98565,31462,95877,48441,98565,90120,40319,58389,48441,45747,98019,98565,98019,22504,48441,18767,61210,48441,98565,76885,77044,95877,48441,23756,93954,48441,94193,98565,36187,74552,69016,48441,61518,35704,41018,23756,16477,98565,95877,48441,98565,74556,98565,48441,93954,92395,84787,61518,13791,84420,52775,90419,48359,17571,98494,41788,31119,50958,48441,17571,46628,93954,88368,14341,76466,77044,98390,39798,98565,32701,93954,98565,71174,31576,31576,98565,98565,16607,95877,98565,14341,98561,95877,27497,98565,98565,78918,74702,57329,40300,48441,14341,69016,16662,48441,48441,44284,14341,14341,76465,48441,79986,48441,48441,93954,95877,59725,48441,87207,76466,95877,98494,31462,59725,48441,14341,98565,93954,74552,98565,18767,23756,13737,98565,80940,31462,48441,14341,45745,48441,30999,90120,86849,89833,48441,48441,48441,78917,31468,31462,37293,48441,93954,31576,28863,95877,76885,48441,17571,52276,37293,34653,64577,26843,95877,25261,74552,86849,41018,33328,93954,58389,98565,95873,98565,44453,48441,22501,93954,48441,31462,48560,74991,98565,15903,95877,48441,55502,18314,98565,86849,58389,98565,74552,31119,31461,98565,93954,69017,48441,45236,61518,47045,48441,23756,88368,58853,78916,48441,31292,98565,14341,98565,22504,60053,14341,90120,18645,87207,48441,18767,25261,13831,98565,66922,95877,48441,23756,98494,34912,88368,31462,58389,50958,89079,53488,78918,48441,95877,93954,52702,93954,14341,85714,98565,97650,22504,14341,12016,93954,98494,48441,99557,48441,98565,99557,98565,98565,59126,50958,93954,78624,33328,20444,48441,92395,45745,76463,45745,48441
79881,98565,98565,87209,94219,23555,31462,93954,98565,40412,73791,98565,14341,98565,14341,98565,40412,22501,89079,40412,46330,98565,14341,32458,86849,98565,93954,59725,18767,76449,59121,98565,59736,59727,98565,85393,59725,14341,41788,98565,90120,78918,52775,31119,76466,16764,98565,85963,71176,98565,98565,60204,86849,44284,71174,76466,79901,78918,15606,21901,93951,65243,14341,78484,18767,98565,88409,58389,57684,35424,93954,98565,30999,40551,75060,93954,40300,23756,45584,73014,17577,33734,59725,21901,59725,98565,98565,98565,18314,78624,93952,98565,98565,98565,48441,76465,14341,90120,31468,50958,69016,87207,14341,99557,19133,93954,45743,98392,78918,88409,98565,98565,91280,77044,93954,64577,78918,21901,87207,93954,31468,86849,95873,29868,70614,53643,40300,59006,39955,98565,61100,45745,52816,14341,48560,18767,58389,52775,65163,40300,12485,93954,61181,23756,85714,98565,95009,11825,98565,98565,61216,98565,12016,30719,93894,21305,57684,18554,98565,68832,78918,21081,98565,54598,12485,95877,58068,76466,57684,98565,98565,42400,52775,21081,30999,65368,62938,25261,98565,18767,41642,14341,87207,40300,14341,35704,93954,69016,41018,48441,40412,27497,53643,65715,25728,28863,98565,93954,21081,59727,89079,14341,98565,29192,14341,21901,98565,71176,14341,93894,98565,98565,14341,78624,59725,36873,98561,34125,69016,22501,61100,71662,45587,40412,98565,50958,98565,78918,98565,57329,44286,71662,45587,98565,98565,98565,74702,65243,91968,78917,59725,35704,21901,86849,50958,98565,82051,98565,65243,21901,61615,55692,65243,98565,40300,41642,76465,50958,98565,93954,84787,73014,93954,36245,18767,18767,14341,70614,73014,20444,98565,61100,23756,65090,14341,86849,18767,93954,87209,98565,31468,93954,95877,52066,59725,40300,31345,59725,15606,63272,74991,98565,17432,52775,90419,14341,14341,78916,33734,84787,50958
98494,89858,70613,33328,39955,61100,76465,93894,59897,36187,33734,11825,93894,33734,78918,59725,94402,98565,59725,94402,93894,88409,82910,24959,36187,45022,65158,86849,99069,25406,98565,18767,16764,27497,55692,52702,78918,70613,98565,93894,98565,18767,98565,98565,93952,47329,86849,35488,67569,88409,20919,17577,52273,27884,12016,30752,19957,18767,61100,18767,78724,59725,40300,93894,58306,99313,99313,87207,40300,94692,78971,78918,10322,18767,78918,27884,78918,98565,62934,14341,89858,71073,18767,18767,72147,90843,88409,59725,98565,42400,89079,78724,21901,45236,76463,28863,93894,78482,78918,59725,14341,14341,12485,12485,75060,98565,18767,87207,64665,40300,86849,15606,17926,18767,98565,98565,49344,78918,98565,23756,84789,78918,98565,18554,88388,75060,75060,17926,21081,35704,40412,93954,18767,11825,38929,27803,72318,98565,11789,59084,39955,73014,52863,17577,69016,18554,14341,78918,52816,78724,98565,18554,69016,43090,96664,98565,35704,53890,76465,48110,61100,40412,78918,22932,31111,99555,98565,14341,93894,16275,90326,98565,98565,61181,33328,98565,67376,98565,40300,98245,14341,17472,14341,78918,11825,75060,23756,14341,74552,23756,39655,57684,21081,98565,14341,98565,88409,23756,40412,59725,78918,98245,52066,17926,12485,33527,20919,14341,59725,57688,59725,71073,14039,13656,40300,89070,95873,45584,61181,98565,71662,25461,14341,94402,61103,59725,74991,90326,18767,26784,14341,21081,98565,78918,61691,34000,44432,98565,14341,98565,40099,78918,45236,44123,59725,33734,98948,40300,18767,72147,98565,18016,52621,18886,18767,76465,14341,31345,45236,69016,58389,14341,98565,98565,71662,79901,31111,87126,91969,98565,78918,58211,98565,66001,94035,13737,67845,48359,99313,78729,83336,14341,98565,88265,52066,40662,55692,13737,72147,48359,40300,88409,38929,98565,14341,15606,88409,96546,42420,44284,36397
31443,97091,52066,18767,21081,40412,69016,75060,18554,48699,16764,39955,45236,93894,42189,78918,32331,84424,39954,47320,99496,78918,78918,17431,18795,49344,88362,57688,40412,59725,99660,29992,78918,95383,18016,18767,99069,78918,11825,65681,18767,31345,72147,93894,79533,21081,75060,90141,98565,54194,18767,16764,91280,78918,98565,59727,47127,79635,72420,32331,11825,17471,16764,16609,88763,18767,18767,98565,30220,98948,98565,18767,57329,31345,13737,70614,79901,40412,78918,78918,72147,36187,21578,71662,53643,72891,78918,70614,18767,78623,99069,11825,18767,78918,14341,93894,40412,46330,99069,70614,59725,35704,79986,62604,18767,40412,79901,14341,73312,40412,87209,27381,94402,46628,60208,59169,64063,18767,52066,37293,21081,52273,75060,16764,94402,78918,40412,18016,55692,82105,36187,59121,98449,60208,58423,94402,91969,86849,20773,21081,17475,98565,46900,78918,99557,30220,52066,21081,18767,11825,16275,97650,98565,59727,61181,75060,55692,55692,40412,75060,14348,36187,55185,55692,97650,14341,40717,85393,75060,55692,48521,74991,93894,24041,19853,46623,31345,72258,40412,36187,27724,45236,59725,71662,72315,78918,14341,82911,31468,50958,94402,40412,88327,45708,38929,40412,78918,93894,94402,18767,13737,55692,20919,21187,45236,78918,21081,21901,16609,96666,40496,99069,91900,84560,78918,13737,98565,29332,73316,21901,20777,32331,78918,25461,24551,45621,83332,79901,71662,15608,35704,55692,88409,79901,13737,78918,98565,18767,28274,30597,61181,18767,49344,40412,16764,42189,98565,75060,55692,97650,59725,94402,20919,55919,75824,71170,65490,55692,78918,14341,93952,27885,88409,21901,61181,87125,14069,55692,89070,78918,71662,74413,15606,40412,39955,49344,36187,60391,45624,94405,18767,81876,21901,40412,71662,18767,94402,55692,78918,27497,45236,20176,75060,33734,71662,40412,78918,14341,53643,45584,18767
63059,13737,34724,55185,89984,64063,98565,78918,10564,74413,35434,31468,40412,13737,11245,94402,48521,78918,49344,99860,39652,53643,40412,14341,90510,40412,75060,78918,36187,90946,97650,87328,25177,78918,36187,25177,87126,18767,40300,71662,71662,13737,52276,82105,21901,53890,18767,75060,96835,40099,16274,18767,36187,74552,33734,93894,36187,94402,35424,22663,97091,35704,97650,18767,82051,13737,59005,15606,61181,64970,31468,84917,37769,82051,21081,48645,94402,13935,53643,70614,30597,76787,94402,99069,40412,56954,53643,21081,21081,25362,21081,35704,36187,61100,72147,65681,49222,93894,91285,61181,88409,77044,79987,99069,71662,36187,40412,88409,36187,10210,23040,65495,39183,29195,55692,93894,90843,70614,70614,25268,40412,21081,71662,84789,98948,61100,94402,82051,18016,78918,20777,98565,98948,20919,21081,14077,79533,21081,48521,98948,21081,72147,15048,79637,31468,70614,53315,94402,21081,39955,61181,55692,78724,98565,32331,90326,94402,36187,39183,78918,13737,32331,55692,94402,61100,98244,40662,39955,21081,36187,98948,21901,96664,46900,90865,78524,53218,42566,36187,94692,62286,78918,78918,21081,17472,71662,54050,54451,78918,57684,46901,94402,91048,18554,47562,82051,71662,94402,81957,34658,20777,36187,53643,72891,78918,16609,98097,17472,87328,18767,88408,39652,62622,53277,85909,21081,21901,39955,22936,13737,95276,18795,74552,74413,49222,61100,41876,82117,36187,79637,99313,94402,93894,26828,40412,34658,15606,55692,31111,78918,36187,98245,39655,36187,78918,70614,98494,13737,26070,70614,21901,32331,61100,13935,53643,71405,98245,82051,49344,74991,74552,78918,40300,39955,18016,40412,49344,18016,91285,18767,55919,72891,78918,36187,99660,40412,98948,59725,99069,75318,70614,36397,16609,74669,21081,88314,46901,28276,54598,40412,90326,82105,55185,18886,79901,36187,53643,59087,79901,45589,41705
91907,21081,55185,36187,36187,22665,84787,79986,78918,98948,40412,89818,27803,67845,87024,49637,98948,76447,89984,11114,40412,55692,18016,48110,14341,94402,78918,84917,49222,78918,13737,13406,61181,71662,22936,87328,40412,13737,31468,42566,79901,21081,65495,18767,18767,87688,31345,78918,31468,55692,19957,75693,13406,18767,78918,71662,33477,74413,98948,94768,78918,45236,61100,71662,20777,20777,94402,18767,35424,42378,78918,94402,28014,74387,55692,40412,25370,32331,21081,13737,78918,18795,29195,34807,18016,28965,55692,42566,40412,25335,36187,52273,25461,33836,78918,18767,74413,65681,46371,36187,70614,60588,21081,87328,21081,39183,94402,79637,39183,94402,21081,70614,32331,14077,20777,78918,17006,94402,53643,40300,18016,42566,40412,40412,98565,16074,98948,46901,36187,71662,90843,99660,98565,21081,94402,98948,66001,42874,98565,98565,61181,16764,18420,18499,13737,55919,18767,29195,18016,52273,46900,94402,78918,96528,98948,67162,20777,52863,49222,55692,21081,48521,34807,52863,52273,11245,54353,75060,55692,52863,28042,42421,40412,21765,17431,48119,32331,40099,72891,98948,39183,91280,53316,55692,29192,10215,88409,97650,37841,45023,18795,20777,82051,99069,65201,74413,99069,13406,98948,13369,32331,52863,85909,98948,40412,18767,96930,78918,35424,13737,18767,40412,78918,54890,40412,55692,75060,78918,87573,49344,91506,98494,65495,72891,32331,55692,40300,74413,35424,55692,45624,18795,18767,35781,18016,94402,78918,36187,73798,16609,28505,79901,94402,39183,40307,29192,67462,21081,98948,40412,75060,20773,55610,32331,17926,71295,36187,98948,55692,31344,65495,79986,78918,21081,82051,31194,61181,36187,36187,93169,49344,48521,99069,72897,70614,39183,38112,86849,21081,63015,55692,40412,36187,82051,94402,87573,98948,36187,40099,16425,21081,53643,96887,70614,13405,28505,22073,52276,82051,78918,49344
53275,94402,79901,32331,18795,46900,83332,55919,61100,43566,36187,21081,94402,13405,94402,32331,75015,98948,94402,10665,36187,28505,36187,95520,60281,50718,40412,21081,52868,53277,55692,53562,82117,11245,82051,75317,22936,40412,18767,40412,40412,87328,13737,45023,70614,25504,21081,35555,78918,36187,87328,61181,74413,41542,53643,55692,18795,32331,39109,47847,21081,78918,18767,40412,19011,98948,98948,26947,32331,12404,40412,49222,35704,55292,18016,38035,60769,59559,36187,36187,18767,14341,49222,36187,36187,95840,28505,40412,35424,42421,94692,59080,49222,19957,55919,26947,98948,71662,52863,90843,40412,92794,61181,53644,36187,23612,35424,99069,67962,82051,95276,29192,50718,46901,32331,53316,62386,32331,40099,22275,94402,40412,49482,61975,43566,13737,29868,72891,49222,53643,20771,97650,60603,61181,39183,15045,18767,40412,37774,98494,87024,77049,76007,13737,16274,35434,93894,74413,94402,21081,72891,34091,18767,70220,38112,23659,94692,20777,74413,18016,40412,18795,45587,52868,70614,55692,60601,40412,18795,65555,43566,17784,12016,18795,98565,71662,22073,40412,48521,43566,66746,23612,31902,36187,21081,21081,39578,70614,18016,13737,12372,98948,32331,55692,78624,18795,94402,61552,80141,55692,18795,92419,55692,17349,36187,91164,18795,20523,90843,74119,86439,36187,53277,17539,10210,66985,83336,21081,85906,40099,75015,12404,71662,42160,25796,94402,18767,98948,87573,18016,11054,85302,98245,74413,94402,35424,70614,20777,40412,18767,49222,40412,58304,10517,70614,40412,12404,40412,38112,18016,78918,98948,98245,92682,63015,39955,31194,98565,86569,55185,53316,70614,71662,42874,52868,32331,64063,32331,35424,97390,19957,98948,54291,32331,21081,32331,87335,53792,36187,32331,94402,36187,35424,74413,41381,98948,98565,32331,40412,46900,40412,47121,17539,99069,36187,98948,98948,25177,87322,40412,34807
40412,46900,36187,32132,42378,20567,83130,40099,53316,12404,32331,40412,39183,36187,32331,98948,82766,66277,31194,18223,32331,22073,39183,70083,43566,98948,94402,21765,10517,91280,94402,20777,53644,40412,90843,74665,54354,87328,72891,72891,94402,94402,21081,64066,41958,98948,20777,20357,18767,32331,94402,75317,90843,98948,21081,36187,98494,18795,21823,90609,91048,70614,26947,94402,24391,14341,56401,13737,14770,69303,70850,23612,97650,75015,94402,13935,98494,25796,35424,74413,13737,98494,98948,35623,74413,78631,22073,36187,72891,16132,90512,49344,46900,18016,39183,60053,19011,42566,82051,46906,46082,63059,18016,74413,49222,74413,32331,21081,63259,46900,50718,41813,98948,98948,96930,84917,98948,98948,18016,18767,52863,21276,94692,38614,61744,55692,14770,18795,87573,36187,72891,18767,98494,36187,86266,12404,55692,64063,63792,69482,36187,49344,95468,26051,61181,94727,21187,98948,20777,75317,98948,98948,21081,59624,77962,77962,98948,95273,18795,48699,87328,63790,90843,48521,21081,46900,62026,83266,38112,98948,98494,35217,36187,16842,67098,49344,90512,88388,18795,38461,91907,98948,23612,46900,38811,19957,40412,13737,14077,55692,60350,38112,48523,52863,16500,60601,32331,98948,40000,82051,43566,82051,18016,14341,25461,40412,85467,36187,94692,87478,32331,90843,38929,94727,36187,36187,18767,32037,98948,40412,43566,39109,53643,98948,98948,46900,70614,83441,98948,36187,36187,47847,16275,78994,29195,46900,41542,98948,28859,79901,98948,36187,24490,98948,54291,21276,93302,94402,75012,28505,48560,14770,21081,98948,94692,76447,32331,37192,29195,11245,36187,13737,53643,40412,20773,72891,98565,25796,28856,66983,40412,24256,27803,94298,36187,98948,62026,30220,52863,72891,52948,23612,74413,32331,94692,14341,38177,72891,87328,32331,32331,20777,23832,55692,78313,38112,26936,21081,98948,78924,80825
18016,98948,83351,48521,98494,18795,18767,39183,13737,38294,48521,94402,75317,14077,98948,89172,87603,28620,20777,82848,72891,98948,72891,51904,98494,66277,16425,18795,98948,90943,52863,32331,20777,36187,85150,22073,50718,94402,48521,98948,39183,89387,40412,40412,36187,77962,67687,21081,52381,98948,72541,46127,12778,38114,67845,20777,90609,60769,42600,73729,32331,10453,61181,35424,95580,14770,98494,53890,78990,39109,63015,20771,96664,60445,20777,32331,92148,18795,92419,98948,94402,27208,79147,90843,11789,71163,98948,94692,98948,22443,18795,36187,32331,35424,46900,76447,77962,40412,90843,94692,38614,82051,29368,90843,32331,18795,98948,40412,14770,32331,98948,40412,14770,43566,18795,19957,14341,14341,23612,45023,49222,36187,98948,72891,12404,87328,56954,14770,98948,49222,98948,70614,12404,18795,27062,90609,36187,46127,43566,69303,13935,55692,64159,18016,18016,40412,94402,27364,94692,76463,63792,97793,67845,53358,70113,28620,79147,14341,79330,95942,59559,98494,60115,90512,55692,20773,43566,94402,70113,36199,42600,16491,26798,19011,17471,36187,98948,94692,44834,90609,90496,60769,98948,72891,45556,40412,48699,22932,32331,94402,38114,65397,87129,50718,67785,98494,98948,63792,69303,46900,14475,74413,94402,22584,75317,94402,33749,49222,98948,46900,85150,24310,33919,17512,25461,98948,71662,82051,14770,18016,98494,46755,21081,79147,14341,98948,16275,63792,38112,53562,72897,13870,75693,71453,94692,38614,94727,41391,94402,19957,27364,29195,82051,20179,94402,22936,90199,20777,98494,21765,18767,79330,94402,14341,98948,32192,72891,81317,74413,55692,91048,13406,40099,27603,98948,98948,11789,22663,90843,36187,20777,42378,87688,79147,41381,77962,98494,15518,90512,80148,23612,32331,32132,94692,98948,98494,67280,99860,94402,25796,18795,13367,72529,94402,77773,66277,63091,40412,69220,74413,46900
